Holocene:0.0117
upperPleistocene:0.126
MiddlePleistocene:0.781
Calabrian:1.806
Gelasian:2.588
Piacenzian:3.600
Zanclean:5.333
Messinian:7.246
Tortonian:11.62
Serravallian:13.82
Langhian:15.97
Burdigalian:20.44
Aquitanian:23.03
Chattian:28.1
Rupelian:33.9
Priabonian:38.0
Bartonian:41.3
Lutetian:47.8
Ypresian:56.0
Thanetian:59.2
Selandian:61.6
Danian:66.0
Maastrichtian:72.1
Campanian:83.6
Santonian:86.3
Coniacian:89.8
Turonian:93.9
Cenomanian:100.5
Albian:113.0
Aptian:125.0
Barremian:129.4
Hauterivian:132.9
Valanginian:139.8
Berriasian:145.0
Tithonian:152.1
Kimmeridgian:157.3
Oxfordian:163.5
Callovian:166.1
Bathonian:168.3
Bajocian:170.3
Aalenian:174.1
Toarcian:182.7
Pliensbachian:190.8
Sinemurian:199.3
Hettangian:201.3
Rhaetian:208.5
Norian:228
Carnian:235
Ladinian:242
Anisian:247.2
Olenekian:251.2
Induan:252.2
Changhsingian:254.2
Wuchiapingian:259.9
Capitanian:265.1
Wordian:268.8
Roadian:272.3
Kungurian:279.3
Artinskian:290.1
Sakmarian:295.5
Asselian:298.9
Gzhelian:303.7
Kasimovian:307.0
Moscovian:315.2
Bashkirian:323.2
Serpukhovian:330.9
visean:346.7
Tournaisian:358.9
Frasnian:372.2
Famennian:382.7
Givetian:387.7
Eifelian:393.3
Emsian:407.6
Pragian:410.8
Lochkovian:419.2
Pridoli:423.0
Ludfordian:425.6
Gorstian:427.4
Homerian:430.5
Sheinwoodian:433.4
Telychian:438.5
Aeronian:440.8
Rhuddanian:443.4
Hirnantian:445.2
Katian:453.0
Sandbian:458.4
Darriwilian:467.3
Dapingian:470.0
Floian:477.7
Tremadocian:485.4
Stage10:489.5
Jiangshanian:494
Paibian:497
Guzhangian:500.5
Drumian:504.5
Stage5:509
Stage4:514
Stage3:521
Stage2:529
Fortunian:541.0
Ediacaran:635
Cryogenian:850
Tonian:1000
Stenian:1200
Ectasian:1400
Calymmian:1600
Statherian:1800
Orosirian:2050
Rhyacian:2300
Siderian:2500
Neoarchean:2800
Mesoarchean:3200
Paleoarchean:3600
Eoarchean:4000
Hadean:4567
